Tanggal,HargaBeli,HargaJual,KursJual,KursBeli,TingkatInflasi,HargaMinyak
2019-12-30,762000.00,678000.00,14014.73,13875.28,2.72,61.68
2019-12-27,762000.00,678000.00,14025.78,13886.22,2.72,61.72
2019-12-26,758000.00,673000.00,14051.91,13912.09,2.72,61.68
2019-12-23,752000.00,665000.00,14047.89,13908.11,2.72,60.52
2019-12-21,752000.00,665000.00,14062.97,13923.04,2.72,60.44
2019-12-20,751000.00,664000.00,14062.97,13923.04,2.72,60.44
2019-12-19,751000.00,664000.00,14052.92,13913.09,2.72,61.22
2019-12-18,752000.00,664500.00,14077.04,13936.97,2.72,60.93
2019-12-17,751000.00,664000.00,14088.09,13947.91,2.72,60.94
2019-12-16,749000.00,662500.00,14051.91,13912.09,2.72,60.21
2019-12-14,750000.00,663000.00,14051.91,13912.09,2.72,60.07
2019-12-13,746000.00,661000.00,14051.91,13912.09,2.72,60.07
2019-12-12,750000.00,664500.00,14112.21,13971.79,2.72,59.18
2019-12-11,744000.00,658500.00,14095.13,13954.88,2.72,58.76
2019-12-10,743000.00,658000.00,14074.02,13933.98,2.72,59.24
2019-12-09,744000.00,659000.00,14091.11,13950.90,2.72,59.02
2019-12-07,747000.00,662500.00,14107.19,13966.82,2.72,59.2
2019-12-06,751000.00,668000.00,14107.19,13966.82,2.72,59.2
2019-12-05,752000.00,669500.00,14164.47,14023.53,2.72,58.43
2019-12-04,753000.00,670500.00,14195.63,14054.38,2.72,58.43
2019-12-03,747000.00,663000.00,14200.65,14059.35,2.72,56.1
2019-12-02,746000.00,661500.00,14192.61,14051.39,2.72,55.96
2019-11-30,747000.00,663500.00,14172.51,14031.49,3.00,55.17
2019-11-29,744000.00,659500.00,14172.51,14031.49,3.00,55.17
2019-11-28,744000.00,659500.00,14169.50,14028.51,3.00,58.08
2019-11-27,745000.00,661000.00,14166.48,14025.52,3.00,58.11
2019-11-26,743000.00,658000.00,14151.41,14010.60,3.00,58.41
2019-11-25,747000.00,661500.00,14161.46,14020.55,3.00,58.01
2019-11-23,747000.00,662000.00,14170.50,14029.50,3.00,57.77
2019-11-22,748000.00,664000.00,14170.50,14029.50,3.00,57.77
2019-11-21,751000.00,667000.00,14182.56,14041.44,3.00,58.58
2019-11-20,751000.00,667000.00,14167.49,14026.52,3.00,57.11
2019-11-19,749000.00,665000.00,14161.46,14020.55,3.00,55.21
2019-11-18,748000.00,664000.00,14145.38,14004.63,3.00,57.05
2019-11-16,747000.00,664000.00,14139.35,13998.66,3.00,57.72
2019-11-15,748000.00,665500.00,14139.35,13998.66,3.00,57.72
2019-11-14,746000.00,662000.00,14168.49,14027.51,3.00,56.77
2019-11-13,743000.00,658500.00,14152.41,14011.59,3.00,57.12
2019-11-12,741000.00,656500.00,14129.30,13988.71,3.00,56.8
2019-11-11,742000.00,658000.00,14110.20,13969.80,3.00,56.86
2019-11-09,741000.00,658000.00,14090.10,13949.90,3.00,57.24
2019-11-08,745000.00,661000.00,14090.10,13949.90,3.00,57.24
2019-11-07,750000.00,669500.00,14110.20,13969.80,3.00,57.15
2019-11-06,750000.00,669500.00,14061.96,13922.04,3.00,56.35
2019-11-05,758000.00,678000.00,14101.16,13960.85,3.00,57.23
2019-11-04,763000.00,683000.00,14072.01,13931.99,3.00,56.54
2019-11-02,764000.00,684000.00,14136.33,13995.67,3.00,56.2
2019-11-01,764000.00,684000.00,14136.33,13995.67,3.00,56.2
2019-10-31,755000.00,674000.00,14078.04,13937.96,3.13,54.18
2019-10-30,751000.00,670900.00,14114.22,13973.78,3.13,55.06
2019-10-29,752000.00,671000.00,14098.14,13957.86,3.13,55.54
2019-10-28,757000.00,679000.00,14093.11,13952.89,3.13,55.81
2019-10-26,757000.00,679000.00,14134.32,13993.68,3.13,56.66
2019-10-25,754000.00,675000.00,14134.32,13993.68,3.13,56.66
2019-10-24,752000.00,673000.00,14065.98,13926.02,3.13,56.23
2019-10-23,751000.00,672000.00,14121.25,13980.75,3.13,55.97
2019-10-22,752000.00,673000.00,14128.29,13987.71,3.13,54.16
2019-10-21,756000.00,677000.00,14202.66,14061.34,3.13,53.31
2019-10-19,756000.00,678000.00,14210.70,14069.30,3.13,53.78
2019-10-18,758000.00,680000.00,14210.70,14069.30,3.13,53.78
2019-10-17,758000.00,679000.00,14242.86,14101.14,3.13,53.93
2019-10-16,752000.00,673000.00,14257.93,14116.07,3.13,53.36
2019-10-15,756000.00,676000.00,14210.70,14069.30,3.13,52.81
2019-10-14,754000.00,675000.00,14196.63,14055.37,3.13,53.59
2019-10-12,756000.00,677000.00,14210.00,14068.00,3.13,54.7
2019-10-11,758000.00,679000.00,14210.00,14068.00,3.13,54.7
2019-10-10,766000.00,690000.00,14228.00,14086.00,3.13,53.55
2019-10-09,762000.00,687000.00,14253.00,14111.00,3.13,52.59
2019-10-08,756000.00,679000.00,14241.00,14099.00,3.13,52.63
2019-10-07,761000.00,684000.00,14227.00,14085.00,3.13,52.75
2019-10-05,761000.00,684000.00,14206.00,14064.00,3.13,52.81
2019-10-04,764000.00,688000.00,14206.00,14064.00,3.13,52.81
2019-10-03,762000.00,685000.00,14264.00,14122.00,3.13,52.45
2019-10-02,755000.00,676000.00,14278.00,14136.00,3.13,52.64
2019-10-01,751000.00,672000.00,14267.00,14125.00,3.13,53.62
